title,rating,ratings_count,timestamp
"Under All The Lights (When It All Syncs Up, #2)",4.16,50,2024-11-23 15:46:51.753419
Lesser Ruins,4.35,62,2024-11-23 15:46:51.753419
Of The Flesh,3.32,171,2024-11-23 15:46:51.753419
"Sleeping With The Frenemy (Vega Family Love Stories, #3)",3.9,356,2024-11-23 15:46:51.753419
Intermezzo,4.08,60003,2024-11-23 15:46:51.753419
The Life Impossible,3.52,36428,2024-11-23 15:46:51.753419
An Academy For Liars,3.58,6048,2024-11-23 15:46:51.753419
Framed: Astonishing True Stories Of Wrongful Convictions,4.22,3490,2024-11-23 17:13:04.544755
The Message,4.57,9145,2024-11-23 17:13:04.544755
The Elements Of Marie Curie: How The Glow Of Radium Lit A Path For Women In Science,3.92,307,2024-11-23 17:13:04.544755
"American Scary: A History Of Horror, From Salem To Stephen King And Beyond",3.74,166,2024-11-23 17:13:04.544755
Lifeform,3.84,848,2024-11-23 17:13:04.544755
Henry V: The Astonishing Triumph Of England'S Greatest Warrior King,4.51,912,2024-11-23 17:13:04.544755
The Plan: Manage Your Time Like A Lazy Genius,4.09,1386,2024-11-23 17:13:04.544755
Selling Sexy: Victoria’S Secret And The Unraveling Of An American Icon,3.88,283,2024-11-23 17:13:04.544755
Gather Me: A Memoir In Praise Of The Books That Saved Me,4.29,131,2024-11-23 17:13:04.544755
"Abortion: Our Bodies, Their Lies, And The Truths We Use To Win",4.77,549,2024-11-23 17:13:04.544755
"How To Winter: Harness Your Mindset To Thrive On Cold, Dark, Or Difficult Days",4.13,151,2024-11-23 17:13:04.544755
No One Gets To Fall Apart: A Memoir,3.9,144,2024-11-23 17:13:04.544755
"Sapiens: A Graphic History, Volume 3—The Masters Of History",4.32,284,2024-11-23 17:13:04.544755
My Roman Year,3.94,126,2024-11-23 17:13:04.544755
Dorothy Parker In Hollywood,3.94,53,2024-11-23 17:13:04.544755
I'M Glad My Mom Died,4.45,1173512,2024-11-23 17:13:04.544755
The Third Gilmore Girl: A Memoir,4.43,26106,2024-11-23 17:13:04.544755
Untamed,3.99,468602,2024-11-23 17:13:04.544755
"The Wager: A Tale Of Shipwreck, Mutiny And Murder",4.18,141976,2024-11-23 17:13:04.544755
Talking To Strangers: What We Should Know About The People We Don'T Know,4.0,314770,2024-11-23 17:13:04.544755
Counting The Cost,4.04,120564,2024-11-23 17:13:04.544755
Sociopath: A Memoir,3.8,41445,2024-11-23 17:13:04.544755
Melania,4.01,3343,2024-11-23 17:13:04.544755
"The Art Thief: A True Story Of Love, Crime, And A Dangerous Obsession",3.96,49099,2024-11-23 17:13:04.544755
Think Again: The Power Of Knowing What You Don'T Know,4.15,118095,2024-11-23 17:13:04.544755
Four Thousand Weeks: Time Management For Mortals,4.21,95515,2024-11-23 17:13:04.544755
Beyond The Wand: The Magic & Mayhem Of Growing Up A Wizard,4.29,129876,2024-11-23 17:13:04.544755
The Anthropocene Reviewed: Essays On A Human-Centered Planet,4.36,140681,2024-11-23 17:13:04.544755
Invisible Women: Data Bias In A World Designed For Men,4.35,134444,2024-11-23 17:13:04.544755
Think Like A Monk: Train Your Mind For Peace And Purpose Every Day,4.2,74297,2024-11-23 17:13:04.544755
Sapiens: A Brief History Of Humankind,4.35,1103963,2024-11-23 17:13:04.544755
The Diary Of A Young Girl,4.19,3879139,2024-11-23 17:13:04.544755
Educated,4.47,1637346,2024-11-23 17:13:04.544755
Quiet: The Power Of Introverts In A World That Can'T Stop Talking,4.08,449909,2024-11-23 17:13:04.544755
The Immortal Life Of Henrietta Lacks,4.12,757983,2024-11-23 17:13:04.544755
Atomic Habits: An Easy & Proven Way To Build Good Habits & Break Bad Ones,4.34,1006608,2024-11-23 17:13:04.544755
Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything,4.01,866853,2024-11-23 17:13:04.544755
I'M Glad My Mom Died,4.45,1173512,2024-11-23 17:13:04.544755
Outliers: The Story Of Success,4.19,814318,2024-11-23 17:13:04.544755
Becoming,4.45,1101504,2024-11-23 17:13:04.544755
"The Devil In The White City: Murder, Magic, And Madness At The Fair That Changed America",4.0,708422,2024-11-23 17:13:04.544755
A Short History Of Nearly Everything,4.22,398448,2024-11-23 17:13:04.544755
The Subtle Art Of Not Giving A F*Ck: A Counterintuitive Approach To Living A Good Life,3.88,1214478,2024-11-23 17:13:04.544755
We Should All Be Feminists,4.4,305040,2024-11-23 17:13:04.544755
Man’S Search For Meaning,4.37,764547,2024-11-23 17:13:04.544755
Don'T Let The Forest In,4.22,3254,2024-11-23 17:13:57.709952
The Bog Wife,3.65,2479,2024-11-23 17:13:57.709952
Killer House Party,3.27,357,2024-11-23 17:13:57.709952
The Book Of Witching,3.79,7329,2024-11-23 17:13:57.709952
This Cursed House,3.69,1224,2024-11-23 17:13:57.709952
If I Stopped Haunting You,2.82,1966,2024-11-23 17:13:57.709952
"Absolution (Southern Reach, #4)",3.74,1561,2024-11-23 17:13:57.709952
Model Home,3.88,1602,2024-11-23 17:13:57.709952
Strange Beasts,4.04,732,2024-11-23 17:13:57.709952
I'Ll Be Waiting,3.8,1752,2024-11-23 17:13:57.709952
Memorials,3.95,1390,2024-11-23 17:13:57.709952
American Rapture,4.23,1874,2024-11-23 17:13:57.709952
"American Scary: A History Of Horror, From Salem To Stephen King And Beyond",3.74,166,2024-11-23 17:13:57.709952
"Exposure (Rita Todacheene, #2)",3.99,599,2024-11-23 17:13:57.709952
The Specimen,4.14,342,2024-11-23 17:13:57.709952
Feast While You Can,4.12,233,2024-11-23 17:13:57.709952
Coup De Grâce,3.27,877,2024-11-23 17:13:57.709952
Curdle Creek,3.04,192,2024-11-23 17:13:57.709952
You Better Watch Out,3.75,596,2024-11-23 17:13:57.709952
Rest Stop,3.95,1188,2024-11-23 17:13:57.709952
Red In Tooth And Claw,3.81,219,2024-11-23 17:13:57.709952
It Will Only Hurt For A Moment,3.66,330,2024-11-23 17:13:57.709952
The Black Hunger,3.77,275,2024-11-23 17:13:57.709952
The Unfinished,3.63,217,2024-11-23 17:13:57.709952
The Dark Becomes Her,4.07,187,2024-11-23 17:13:57.709952
Eleven Houses,3.71,76,2024-11-23 17:13:57.709952
Influencer,3.75,1524,2024-11-23 17:13:57.709952
Where The Dead Brides Gather,3.87,87,2024-11-23 17:13:57.709952
A Vile Season,3.73,229,2024-11-23 17:13:57.709952
Till The Last Beat Of My Heart,4.02,96,2024-11-23 17:13:57.709952
Good Dogs,4.01,123,2024-11-23 17:13:57.709952
They Watch From Below,4.0,74,2024-11-23 17:13:57.709952
Lonely Places,4.1,70,2024-11-23 17:13:57.709952
Phantom Phenomena: Tales Of The World'S Most Terrifying And Supernatural Events,4.08,13,2024-11-23 17:13:57.709952
"Third Shift Society, Vol. 2",4.43,152,2024-11-23 17:13:57.709952
The Terrifying Tales Of Vivian Vance: A Graphic Novel,3.73,106,2024-11-23 17:13:57.709952
Theology Of Horror: The Hidden Depths Of Popular Films,4.25,4,2024-11-23 17:13:57.709952
Hungry Bones,4.1,49,2024-11-23 17:13:57.709952
Of The Flesh,3.32,171,2024-11-23 17:13:57.709952
All The Hearts You Eat,3.69,127,2024-11-23 17:13:57.709952
What Doesn’T Break,4.47,502,2024-11-23 17:13:57.709952
And He Shall Appear,3.5,145,2024-11-23 17:13:57.709952
Barrowbeck,3.69,185,2024-11-23 17:13:57.709952
Cold Snap,2.91,189,2024-11-23 17:13:57.709952
He Who Bleeds,4.18,49,2024-11-23 17:13:57.709952
A Christmas Ghost Story,3.09,55,2024-11-23 17:13:57.709952
Terrifier 2,4.38,117,2024-11-23 17:13:57.709952
I Believe In Mister Bones,4.35,63,2024-11-23 17:13:57.709952
You Will Speak For The Dead,4.06,64,2024-11-23 17:13:57.709952
"W0Rldtr33 Volume 2 (W0Rldtr33, Vol.2)",4.13,182,2024-11-23 17:13:57.709952
Haven,3.78,73,2024-11-23 17:13:57.709952
Parthenogenesis,3.73,111,2024-11-23 17:13:57.709952
Blood Hunt,3.52,173,2024-11-23 17:13:57.709952
The Way Up Is Death,4.29,14,2024-11-23 17:13:57.709952
The Penguin Book Of Demons,4.25,4,2024-11-23 17:13:57.709952
The Eater Of Flies,3.67,54,2024-11-23 17:13:57.709952
Aliens: What If...?,3.63,131,2024-11-23 17:13:57.709952
Dracula Book 1: The Impaler,4.06,62,2024-11-23 17:13:57.709952
The Off-Season: An Anthology Of Coastal New Weird,4.78,9,2024-11-23 17:13:57.709952
Benothinged,4.33,6,2024-11-23 17:13:57.709952
Invasive,3.21,66,2024-11-23 17:13:57.709952
Necessary Poisons: Poems,3.1,71,2024-11-23 17:13:57.709952
Kimmy,4.61,38,2024-11-23 17:13:57.709952
Springor Av Mörker,3.87,62,2024-11-23 17:13:57.709952
Sycamore,4.25,28,2024-11-23 17:13:57.709952
Everybody Is In The Place,3.11,37,2024-11-23 17:13:57.709952
The V*Mpire,3.72,40,2024-11-23 17:13:57.709952
"Doors Of Darkness Ii: Trick Or Treat (Doors Of Darkness, #2)",4.88,8,2024-11-23 17:13:57.709952
Bright Hearts,3.47,34,2024-11-23 17:13:57.709952
Spookshow,5.0,3,2024-11-23 17:13:57.709952
House Of Slaughter #26,3.52,23,2024-11-23 17:13:57.709952
Red Skies In The Morning,4.58,12,2024-11-23 17:13:57.709952
The Time For Monsters: An Eldritch Xenomorph Monster Romance,4.33,12,2024-11-23 17:13:57.709952
An Academy For Liars,3.58,6055,2024-11-23 17:13:57.709952
Graveyard Shift,3.27,15753,2024-11-23 17:13:57.709952
So Thirsty,3.58,11265,2024-11-23 17:13:57.709952
Sleep Tight,3.7,14089,2024-11-23 17:13:57.709952
The Thirteenth Child,4.18,3734,2024-11-23 17:13:57.709952
Lucy Undying,3.73,2077,2024-11-23 17:13:57.709952
William,3.6,3917,2024-11-23 17:13:57.709952
The Hitchcock Hotel,3.63,3377,2024-11-23 17:13:57.709952
Dearest,3.55,6849,2024-11-23 17:13:57.709952
Snake Oil,3.63,385,2024-11-23 17:13:57.709952
We Kept Her In The Cellar,3.94,578,2024-11-23 17:13:57.709952
Haunt Sweet Home,3.39,2297,2024-11-23 17:13:57.709952
We Came To Welcome You,3.19,1102,2024-11-23 17:13:57.709952
The Haunting Of Moscow House,3.49,465,2024-11-23 17:13:57.709952
Compound Fracture,4.51,2558,2024-11-23 17:13:57.709952
Tiny Threads,3.25,498,2024-11-23 17:13:57.709952
The Lies We Conjure,3.75,529,2024-11-23 17:13:57.709952
Devils Kill Devils,3.22,654,2024-11-23 17:13:57.709952
"Bringer Of Dust (The Talents Trilogy, #2)",4.19,703,2024-11-23 17:13:57.709952
Such Lovely Skin,4.01,745,2024-11-23 17:13:57.709952
"Hampton Heights: One Harrowing Night In The Most Haunted Neighborhood In Milwaukee, Wisconsin",3.49,611,2024-11-23 17:13:57.709952
Midwestern Gothic,4.08,201,2024-11-23 17:13:57.709952
The Darkest Night: 22 Winter Horror Stories,3.71,230,2024-11-23 17:13:57.709952
Let'S Split Up,3.71,2635,2024-11-23 17:13:57.709952
To The Bone,3.74,267,2024-11-23 17:13:57.709952
The Hysterical Girls Of St. Bernadette'S,3.76,335,2024-11-23 17:13:57.709952
"The Devil By Name (Fever House, #2)",4.37,868,2024-11-23 17:13:57.709952
Let It Glow,4.06,335,2024-11-23 17:15:19.387875
Into The Uncut Grass,4.16,1505,2024-11-23 17:15:19.387875
"Lore Olympus: Volume Seven (Lore Olympus, #7)",4.5,7222,2024-11-23 17:15:19.387875
"The Great When (The Long London Quintet, #1)",3.72,498,2024-11-23 17:15:19.387875
I Shall Never Fall In Love,4.39,245,2024-11-23 17:15:19.387875
"Castle Swimmer, Vol. 1",4.51,765,2024-11-23 17:15:19.387875
"Sapiens: A Graphic History, Volume 3—The Masters Of History",4.32,284,2024-11-23 17:15:19.387875
The Firelight Apprentice,4.13,203,2024-11-23 17:15:19.387875
"Nothing Special, Vol. 2: Concerning Wings",4.45,115,2024-11-23 17:15:19.387875
Thief Of The Heights,3.92,74,2024-11-23 17:15:19.387875
Girlmode,3.87,149,2024-11-23 17:15:19.387875
Noodle & Bao,4.26,128,2024-11-23 17:15:19.387875
"Third Shift Society, Vol. 2",4.43,152,2024-11-23 17:15:19.387875
Stand Up!: A Graphic Novel,4.0,72,2024-11-23 17:15:19.387875
No Rules Tonight: A Graphic Novel,4.06,103,2024-11-23 17:15:19.387875
"Your Throne, Vol. 1",4.22,127,2024-11-23 17:15:19.387875
"Wingborn (Wingbearer, #2)",4.05,91,2024-11-23 17:15:19.387875
The Terrifying Tales Of Vivian Vance: A Graphic Novel,3.73,106,2024-11-23 17:15:19.387875
Side Quest: A Visual History Of Roleplaying Games,3.87,38,2024-11-23 17:15:19.387875
"Adulthood Is A Gift! (Sarah'S Scribbles, #5)",4.4,675,2024-11-23 17:15:19.387875
Tegan And Sara: Crush (Tegan And Sara #2),4.23,246,2024-11-23 17:15:19.387875
The Strange Case Of Harleen And Harley,4.1,166,2024-11-23 17:15:19.387875
"Karen'S Grandmothers (Baby-Sitters Little Sister Graphic Novels, #9)",4.13,262,2024-11-23 17:15:19.387875
The Book Of Purrs: Everyday Thoughts From Your Feline Friends,4.37,353,2024-11-23 17:15:19.387875
Bog Myrtle,4.49,274,2024-11-23 17:15:19.387875
"Friday, Book Three: Christmas Time Is Here Again",4.16,341,2024-11-23 17:15:19.387875
Halfway There: A Graphic Memoir Of Self-Discovery,4.33,150,2024-11-23 17:15:19.387875
"The Purrfect Plan (Katie The Catsitter, #4)",4.25,159,2024-11-23 17:15:19.387875
Minuit Passé,4.6,194,2024-11-23 17:15:19.387875
Drawn Onward,4.46,165,2024-11-23 17:15:19.387875
"W0Rldtr33 Volume 2 (W0Rldtr33, Vol.2)",4.13,182,2024-11-23 17:15:19.387875
"Ultimate Black Panther, Vol. 1: Peace And War",3.65,210,2024-11-23 17:15:19.387875
Turning Twelve,4.25,101,2024-11-23 17:15:19.387875
Swing,4.15,110,2024-11-23 17:15:19.387875
Blood Hunt,3.52,173,2024-11-23 17:15:19.387875
"The Spellbook Library, Vol. 1",3.59,143,2024-11-23 17:15:19.387875
This Land Is Our Land: A Blue Beetle Story,4.23,88,2024-11-23 17:15:19.387875
Wildflower Emily: A Story About Young Emily Dickinson,4.38,88,2024-11-23 17:15:19.387875
"Wayward Travelers (Squire & Knight, #2)",3.87,52,2024-11-23 17:15:19.387875
Superman: House Of Brainiac,3.46,118,2024-11-23 17:15:19.387875
Aliens: What If...?,3.63,131,2024-11-23 17:15:19.387875
Star Trek: Lower Decks―Warp Your Own Way,4.53,78,2024-11-23 17:15:19.387875
"Monster Locker (Monster Locker, #1)",4.07,44,2024-11-23 17:15:19.387875
Dracula Book 1: The Impaler,4.06,62,2024-11-23 17:15:19.387875
Pocket Peaches: At The Fair (Volume 2),4.27,62,2024-11-23 17:15:19.387875
The Pirate Princess,2.85,62,2024-11-23 17:15:19.387875
Invasive,3.21,66,2024-11-23 17:15:19.387875
Hyde Street #1,4.34,79,2024-11-23 17:15:19.387875
Manga Biographies: Charles M. Schulz The Creator Of Snoopy And Peanuts,4.4,52,2024-11-23 17:15:19.387875
"Fangs For The Memories (Spirited, #4)",3.77,22,2024-11-23 17:15:19.387875
My Time Machine,3.68,34,2024-11-23 17:15:19.387875
Djuna: The Extraordinary Life Of Djuna Barnes,4.0,15,2024-11-23 17:15:19.387875
Clay Footed Giants,3.46,37,2024-11-23 17:15:19.387875
Beneath The Trees Where Nobody Sees,4.28,2806,2024-11-23 17:15:19.387875
"Morgana And Oz, Vol. 1",4.39,988,2024-11-23 17:15:19.387875
"Under The Oak Tree: The Comic, Vol. 1 (Under The Oak Tree, #1)",4.34,1089,2024-11-23 17:15:19.387875
Mismatched: A Modern Graphic Retelling Of Emma,3.69,488,2024-11-23 17:15:19.387875
"The Strange Tales Of Oscar Zahn, Vol. 1: A Graphic Novel",4.05,173,2024-11-23 17:15:19.387875
Luminous Beings: A Graphic Novel,3.41,150,2024-11-23 17:15:19.387875
Weirdo,4.49,237,2024-11-23 17:15:19.387875
"Nancy Spector, Monster Detective: The Case Of The Missing Spot (Nancy Spector, Monster Detective, #1)",3.78,51,2024-11-23 17:15:19.387875
Please Be My Star: A Graphic Novel,3.8,172,2024-11-23 17:15:19.387875
Knots,3.67,156,2024-11-23 17:15:19.387875
Shock City: A Graphic Novel,4.17,30,2024-11-23 17:15:19.387875
Kristy And The Walking Disaster: A Graphic Novel (The Baby-Sitters Club Graphic Novels #16),4.24,666,2024-11-23 17:15:19.387875
"Ultimate Spider-Man, Vol. 1: Married With Children",4.5,927,2024-11-23 17:15:19.387875
Pythian Pratar,4.39,396,2024-11-23 17:15:19.387875
Taxi Ghost: A Graphic Novel,4.11,384,2024-11-23 17:15:19.387875
"The Dog Who Followed The Moon: An Inspirational Story With Meditations On Life, Perfect For Fall 2024, Experience The Power Of Love And Sacrifice",4.63,305,2024-11-23 17:15:19.387875
Saga #69,4.24,495,2024-11-23 17:15:19.387875
Phantom Hearts,4.22,118,2024-11-23 17:15:19.387875
The Haunted Mask: The Graphic Novel (Goosebumps Graphic Novels #1),4.3,291,2024-11-23 17:15:19.387875
薬屋のひとりごと 14 [Kusuriya No Hitorigoto 14],4.4,111,2024-11-23 17:15:19.387875
"Feral, Vol. 1: Indoor Cats",3.94,190,2024-11-23 17:15:19.387875
Perfect Buddy (The Comic / Manhwa) Vol. 1,4.16,169,2024-11-23 17:15:19.387875
"Something, Not Nothing: A Story Of Grief And Love",4.57,51,2024-11-23 17:15:19.387875
D'Or Et D'Oreillers,4.2,184,2024-11-23 17:15:19.387875
"Batman: Detective Comics, Vol. 3: Gotham Nocturne: Act Ii",3.66,148,2024-11-23 17:15:19.387875
"Poison Ivy, Vol. 3: Mourning Sickness",4.05,138,2024-11-23 17:15:19.387875
I Felt Myself Slipping,3.7,130,2024-11-23 17:15:19.387875
A Great Big Visual Hug: Heartwarming Wawawiwa Comics,4.48,123,2024-11-23 17:15:19.387875
Good As Goldie: A Breaking Cat News Adventure,4.61,66,2024-11-23 17:15:19.387875
Cthulhu Cat,4.02,48,2024-11-23 17:15:19.387875
Stinas Jojk,4.16,91,2024-11-23 17:15:19.387875
"Superman: Action Comics, Vol. 2: To Hell And Back",3.1,87,2024-11-23 17:15:19.387875
"Harley Quinn, Vol. 1: Girl In A Crisis",2.89,44,2024-11-23 17:15:19.387875
Bear Pirate Viking Queen,3.46,65,2024-11-23 17:15:19.387875
Brzrkr Deluxe Edition,3.77,60,2024-11-23 17:15:19.387875
Dr. Seuss Graphic Novel: The Grinch Takes A Vacation: A Grinch Story (Dr. Seuss Graphic Novels),3.96,72,2024-11-23 17:15:19.387875
The Graveyard Club: Revenge Game,3.1,31,2024-11-23 17:15:19.387875
Ice Cream Man Volume 10 (10),4.3,20,2024-11-23 17:15:19.387875
"Into The Hidden World (Guardians Of Horsa, #5)",4.17,18,2024-11-23 17:15:19.387875
Au Travers Du Rayon,3.62,21,2024-11-23 17:15:19.387875
Heksa,4.61,28,2024-11-23 17:15:19.387875
"Evelyn And Avery: The Art Of Friendship (Evelyn And Avery, 1)",4.04,25,2024-11-23 17:15:19.387875
La Dernière Nuit D'Anne Bonny,4.6,25,2024-11-23 17:15:19.387875
Selma Gjør Så Godt Hun Kan,4.47,19,2024-11-23 17:15:19.387875
Sea Serpent'S Heir Book Three: Queen Of Mercy,4.08,12,2024-11-23 17:15:19.387875
Jim Henson'S Labyrinth #1,4.35,20,2024-11-23 17:15:19.387875
The Last One At The Wedding,3.67,22114,2024-11-23 17:16:15.002387
Society Of Lies,3.59,12407,2024-11-23 17:16:15.002387
The Blue Hour,3.27,6316,2024-11-23 17:16:15.002387
Don'T Let The Forest In,4.22,3254,2024-11-23 17:16:15.002387
The Bog Wife,3.65,2479,2024-11-23 17:16:15.002387
Killer House Party,3.27,357,2024-11-23 17:16:15.002387
No One Will Know,3.63,1030,2024-11-23 17:16:15.002387
"The Sequel (The Book Series, #2)",3.75,5161,2024-11-23 17:16:15.002387
The Treasure Hunters Club,3.8,1093,2024-11-23 17:16:15.002387
I'Ll Be Waiting,3.8,1752,2024-11-23 17:16:15.002387
The Debutantes,3.73,740,2024-11-23 17:16:15.002387
Memorials,3.95,1390,2024-11-23 17:16:15.002387
The Trip,3.51,1083,2024-11-23 17:16:15.002387
American Rapture,4.23,1874,2024-11-23 17:16:15.002387
I Did Something Bad,3.81,498,2024-11-23 17:16:15.002387
"Exposure (Rita Todacheene, #2)",3.99,599,2024-11-23 17:16:15.002387
My Darlings,3.99,365,2024-11-23 17:16:15.002387
The Specimen,4.14,342,2024-11-23 17:16:15.002387
Feast While You Can,4.12,233,2024-11-23 17:16:15.002387
Two Good Men,4.31,106,2024-11-23 17:16:15.002387
You Better Watch Out,3.75,596,2024-11-23 17:16:15.002387
The Undercurrent,3.68,292,2024-11-23 17:16:15.002387
Leave The Girls Behind,3.43,470,2024-11-23 17:16:15.002387
It Will Only Hurt For A Moment,3.66,330,2024-11-23 17:16:15.002387
The President'S Lawyer,3.93,823,2024-11-23 17:16:15.002387
Influencer,3.75,1524,2024-11-23 17:16:15.002387
"You Can Kill (Laurel Snow, #4)",4.4,884,2024-11-23 17:16:15.002387
